472.239678,112,12545
436.0566016,113,12531
467.1362643,105,12528
500.0695599,118,13430
449.959424,121,16395
467.9589921,144,13430
449.6948275,148,12531
456.5557149,150,12804
439.4984253,123,14235
405.9771276,119,12528
446.2360779,142,12530
425.0910092,78,11872
434.6700862,108,14250
406.8806547,130,11872
412.269502,125,11874
409.4847528,107,11872
436.5422135,132,12528
392.3852608,95,9933
450.6375487,143,13429
435.9507368,132,12530
450.3700741,104,11872
415.1009882,108,11872
445.9610882,146,11875
438.5616792,102,11844
391.3140641,119,11872
401.7826897,136,11872
460.713811,103,11875
492.6780239,164,12287
444.7031494,132,11874
467.975904,108,11873
468.2980483,138,12288
432.153147,93,11872
428.1978068,133,11872
422.607211,169,12804
398.4974641,239,16381
437.7207828,129,12528
493.9475401,172,14235
583.1482151,152,14237
394.3516514,92,11872
478.4529867,148,12805
676.3872411,516,22165
732.4186674,574,25140
668.4931024,516,21787
516.6594199,435,19828
609.9952365,504,21896
695.7549126,550,25297
648.3697962,488,21674
807.2329535,572,25124
608.08824,489,22298
689.9418369,589,22895
549.3398035,502,21064
645.6227175,514,20693
702.1156431,515,23471
689.5320476,495,23028
606.3892676,493,21826
581.0500762,451,22479
724.176844,537,23799
739.6614097,508,21755
657.9612084,490,24252
695.5442536,517,22214
538.7655629,459,21847
799.9153137,570,23902
558.3678833,497,22471
696.6556221,492,22980
733.6552128,488,23854
572.8079143,448,27770
613.7510988,456,22247
577.3775042,457,22601
573.6220362,468,21791
741.571714,517,20168
478.839877,410,22145
669.9363322,546,25242
832.6094142,521,25488
666.1473729,493,22478
555.9535529,438,22506
704.679884,510,22488
698.5913019,495,24257
677.8644337,496,21727
693.0016492,507,23734
582.7370719,457,21802
853.7174003,47,19244
770.6917382,46,18707
804.2769901,52,25660
697.4220148,54,21952
706.6626382,49,22877
626.3557086,51,19247
921.2229175,55,22875
723.8589063,54,22885
658.9288783,50,22880
681.6322904,44,19243
690.1384746,48,19238
654.1579468,41,19244
663.7798763,33,22878
659.0121531,45,22876
740.2179935,41,19230
690.7224653,53,22877
593.9849013,38,19244
594.4753744,42,22879
595.1794707,52,21950
649.8114143,48,19244
709.9859049,41,19154
797.9306718,50,19236
663.8409827,45,19235
600.9978522,43,19133
709.8724847,46,19237
649.8429868,33,19135
701.1151259,33,19056
607.5103901,43,22874
558.1654961,38,19136
524.4283177,48,19245
716.1426085,50,22871
633.7614837,47,19136
685.2542645,45,19238
658.4128304,44,22878
735.2508196,43,19236
603.821296,38,21671
655.6690194,48,19237
629.4161429,54,22875
777.6412183,57,22882
518.0450873,44,19250